numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07005;20151021150000;101880;-190;7;210;4.100000;283.550000;281.950000;90;10000;61;6;6;100;8;mq;37;mq;mq;101010;mq;mq;-690;mq;mq;mq;mq;278.750000;mq;mq;6.700000;8.900000;-10;1;0.000000;0.000000;mq;-0.100000;0.200000;0.200000;0.200000;0.200000;mq;mq;mq;mq;8;7;150;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07015;20151021150000;101820;-170;6;220;6.400000;283.950000;281.850000;87;15470;0;mq;mq;100;8;450;mq;mq;mq;101250;mq;mq;-670;mq;mq;mq;mq;275.950000;mq;mq;10.500000;10.700000;-10;2;0.000000;mq;mq;-0.100000;0.200000;0.600000;0.600000;0.800000;mq;mq;mq;mq;6;mq;390;7;mq;690;8;mq;1230;mq;mq;mq;
07020;20151021150000;101940;-190;6;260;10.100000;287.250000;286.650000;96;6000;60;6;2;100;8;150;36;mq;mq;101680;mq;mq;-900;mq;mq;mq;mq;mq;mq;mq;13.200000;13.700000;-10;mq;mq;mq;mq;1.100000;1.900000;5.100000;7.300000;7.300000;mq;mq;mq;mq;8;7;100;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07027;20151021150000;102050;-190;6;230;4.900000;284.250000;283.450000;95;8000;58;6;6;100;8;450;35;mq;mq;101240;mq;mq;-640;mq;mq;mq;mq;279.650000;mq;mq;7.200000;8.400000;-10;2;0.000000;0.000000;mq;0.400000;1.600000;3.400000;3.600000;3.600000;mq;mq;mq;mq;6;6;300;8;6;950;mq;mq;mq;mq;mq;mq;
07037;20151021150000;102040;-170;6;230;4.400000;283.550000;282.450000;93;6000;50;5;2;100;8;250;36;mq;mq;100200;mq;mq;-530;mq;mq;mq;mq;278.050000;mq;mq;6.700000;6.700000;-10;0;0.000000;0.000000;mq;0.200000;0.600000;0.800000;0.800000;0.800000;mq;mq;mq;mq;5;7;210;7;7;330;mq;mq;mq;mq;mq;mq;
07072;20151021150000;102060;-170;6;260;4.000000;285.950000;279.750000;66;20000;0;mq;mq;100;8;1750;mq;mq;mq;100910;mq;mq;-350;mq;mq;mq;mq;279.850000;mq;mq;5.900000;5.900000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;-0.100000;mq;mq;mq;mq;5;mq;1560;8;mq;3240;mq;mq;mq;mq;mq;mq;
07110;20151021150000;102230;-140;8;260;3.600000;286.850000;284.150000;84;20000;25;8;6;100;7;450;38;mq;mq;101090;mq;mq;-600;mq;mq;mq;mq;282.350000;mq;mq;5.300000;7.300000;-10;1;0.000000;0.000000;mq;-0.100000;-0.100000;-0.100000;0.600000;0.600000;mq;mq;mq;mq;4;8;390;7;6;780;mq;mq;mq;mq;mq;mq;
07117;20151021150000;102090;-200;7;260;7.200000;287.050000;284.750000;86;15000;2;2;mq;90;7;1750;35;25;mq;101390;mq;mq;-720;mq;mq;mq;mq;mq;mq;mq;11.600000;14.000000;-10;2;mq;mq;mq;0.000000;0.000000;2.000000;2.600000;2.600000;mq;mq;mq;mq;6;6;1500;4;3;4000;mq;mq;mq;mq;mq;mq;
07130;20151021150000;102260;-150;6;240;2.600000;284.650000;282.550000;87;9690;60;mq;mq;100;8;800;mq;mq;mq;101810;mq;mq;-430;mq;mq;mq;mq;278.050000;mq;mq;4.200000;6.000000;-10;2;0.000000;mq;mq;-0.100000;0.400000;1.000000;1.000000;1.000000;mq;mq;mq;mq;5;mq;900;8;mq;1200;mq;mq;mq;mq;mq;mq;
07139;20151021150000;102200;-140;6;270;4.300000;284.050000;281.950000;87;19300;0;mq;mq;100;8;450;mq;mq;mq;100440;mq;mq;-380;mq;mq;mq;mq;273.950000;mq;mq;6.300000;7.000000;-10;2;0.000000;mq;mq;0.200000;0.200000;0.200000;0.200000;0.200000;mq;mq;mq;mq;1;mq;390;5;mq;630;8;mq;780;mq;mq;mq;
07149;20151021150000;102110;-160;6;240;2.700000;285.950000;279.750000;66;43900;2;2;2;90;7;2820;30;27;mq;101020;mq;mq;-360;mq;mq;mq;mq;mq;mq;mq;4.100000;5.300000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;-0.100000;mq;mq;mq;mq;7;3;2820;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07168;20151021150000;102100;-160;6;330;2.800000;286.850000;280.650000;66;20000;0;2;2;mq;2;800;mq;mq;mq;100680;mq;mq;-250;mq;mq;mq;mq;278.950000;mq;mq;4.800000;4.800000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;2;mq;900;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07181;20151021150000;102020;-110;7;0;0.000000;284.650000;278.550000;66;35320;0;mq;mq;100;8;800;mq;mq;mq;97940;mq;mq;-240;mq;mq;mq;mq;279.850000;mq;mq;0.900000;2.700000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;mq;840;8;mq;1380;mq;mq;mq;mq;mq;mq;
07190;20151021150000;102040;-110;6;340;2.100000;285.250000;279.050000;66;10850;0;mq;mq;100;8;1250;mq;mq;mq;100220;mq;mq;-190;mq;mq;mq;mq;276.150000;mq;mq;2.900000;4.000000;-10;0;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;mq;1470;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07207;20151021150000;102330;-190;6;270;6.700000;286.950000;283.750000;81;18000;2;2;mq;100;8;1250;34;mq;mq;101810;mq;mq;-400;mq;mq;mq;mq;mq;mq;mq;9.700000;10.300000;-10;mq;mq;mq;mq;0.000000;-0.100000;-0.100000;-0.100000;-0.100000;mq;mq;mq;mq;2;8;1200;8;6;1500;mq;mq;mq;mq;mq;mq;
07222;20151021150000;102310;-150;5;300;3.500000;286.650000;281.450000;71;10000;3;2;2;90;7;800;38;mq;mq;102000;mq;mq;-280;mq;mq;mq;mq;278.550000;mq;mq;5.300000;5.700000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;4;8;710;5;6;1610;mq;mq;mq;mq;mq;mq;
07240;20151021150000;102230;-150;6;300;2.100000;286.150000;280.350000;68;59380;0;mq;mq;100;2;800;mq;mq;mq;100880;mq;mq;-240;mq;mq;mq;mq;278.450000;mq;mq;3.300000;4.100000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;-0.100000;mq;mq;mq;mq;2;mq;870;3;mq;2340;5;mq;3000;mq;mq;mq;
07255;20151021150000;102160;-130;6;340;2.300000;286.250000;277.450000;55;20000;3;2;2;90;3;800;38;23;11;100170;mq;mq;-160;mq;mq;mq;mq;279.850000;mq;mq;4.400000;5.300000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;8;900;3;6;1500;4;3;4200;5;0;7000;
07280;20151021150000;102040;-90;6;360;2.100000;285.750000;278.850000;63;41800;0;mq;mq;100;8;1250;mq;mq;mq;99330;mq;mq;-160;mq;mq;mq;mq;279.550000;mq;mq;3.400000;4.400000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;mq;1320;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07299;20151021150000;101990;-90;6;270;1.300000;285.650000;277.350000;57;18000;3;2;2;90;7;1250;38;mq;mq;98740;mq;mq;-200;mq;mq;mq;mq;276.950000;mq;mq;2.100000;5.100000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;-0.100000;mq;mq;mq;mq;1;8;1000;7;6;1200;mq;mq;mq;mq;mq;mq;
07314;20151021150000;102390;-120;5;310;3.500000;286.650000;281.450000;71;12000;2;2;mq;90;5;2500;30;21;11;102110;mq;mq;-100;mq;mq;mq;mq;mq;mq;mq;5.000000;5.400000;-10;0;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;5;4;2500;3;0;6000;mq;mq;mq;mq;mq;mq;
07335;20151021150000;102240;-150;6;360;1.300000;287.050000;278.950000;58;60000;3;2;2;90;2;1250;32;27;mq;100800;mq;mq;-150;mq;mq;mq;mq;281.550000;mq;mq;2.600000;5.100000;-10;0;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;2;8;1200;7;3;3900;mq;mq;mq;mq;mq;mq;
07434;20151021150000;102180;-70;6;360;2.600000;284.650000;276.650000;58;24070;1;2;2;90;6;1250;32;20;11;97390;mq;mq;-40;mq;mq;mq;mq;278.750000;mq;mq;5.100000;6.700000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;5;8;1200;6;0;8000;mq;mq;mq;mq;mq;mq;
07460;20151021150000;102110;-60;6;350;3.000000;284.150000;278.450000;68;19910;0;mq;mq;100;8;800;mq;mq;mq;98220;mq;mq;-110;mq;mq;mq;mq;mq;mq;mq;5.300000;5.600000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;3;mq;720;3;mq;870;8;mq;1380;mq;mq;mq;
07471;20151021150000;mq;-10;5;350;4.300000;279.950000;276.550000;79;19760;0;mq;mq;100;8;800;mq;mq;mq;92320;mq;817;-30;mq;mq;mq;mq;mq;mq;mq;6.800000;7.000000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;6;mq;660;8;mq;870;mq;mq;mq;mq;mq;mq;
07481;20151021150000;101910;-50;5;350;5.300000;285.950000;278.150000;59;20000;1;2;2;60;5;mq;35;20;10;99050;mq;mq;-140;mq;mq;mq;mq;mq;mq;mq;7.500000;9.000000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;5;6;1320;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07510;20151021150000;102300;-80;6;360;3.700000;288.750000;279.950000;56;32540;0;2;2;60;3;1250;38;20;12;101720;mq;mq;70;mq;mq;mq;mq;277.550000;mq;mq;5.700000;5.700000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;8;1200;3;6;1800;3;0;7300;mq;mq;mq;
07535;20151021150000;102170;-30;6;330;1.800000;285.250000;279.950000;70;19900;0;mq;mq;100;8;1250;mq;mq;mq;99050;mq;mq;140;mq;mq;mq;mq;276.750000;mq;mq;3.500000;5.500000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;mq;1380;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07558;20151021150000;101850;-20;5;350;9.700000;282.550000;275.450000;61;20000;0;mq;mq;mq;mq;mq;mq;mq;mq;93530;mq;mq;80;mq;mq;mq;mq;276.450000;mq;mq;13.300000;15.400000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07577;20151021150000;101730;-80;6;20;6.600000;286.850000;278.950000;59;12000;2;0;0;10;1;800;31;20;10;100840;mq;mq;-70;mq;mq;mq;mq;mq;mq;mq;12.300000;14.400000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;8;850;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07591;20151021150000;mq;-50;5;180;3.700000;286.450000;276.550000;51;20000;0;mq;mq;mq;mq;mq;mq;mq;mq;91350;mq;1476;-40;mq;mq;mq;mq;mq;mq;mq;7.100000;8.200000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07607;20151021150000;102330;-70;5;340;3.100000;287.850000;278.050000;52;60000;0;mq;mq;100;mq;1750;mq;mq;mq;101620;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;5.700000;-10;mq;mq;mq;mq;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07621;20151021150000;102290;-20;5;340;3.600000;285.150000;277.150000;58;39160;0;mq;mq;100;8;1250;mq;mq;mq;97960;mq;mq;80;mq;mq;mq;mq;282.450000;mq;mq;5.200000;11.400000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;mq;1470;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07627;20151021150000;102230;10;3;310;5.700000;284.750000;277.450000;61;20000;0;mq;mq;100;8;1250;mq;mq;mq;97310;mq;mq;120;mq;mq;mq;mq;283.950000;mq;mq;8.400000;9.000000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;7;mq;1200;8;mq;1380;mq;mq;mq;mq;mq;mq;
07630;20151021150000;102210;-60;5;300;6.100000;285.650000;279.050000;64;18050;0;mq;mq;100;8;450;mq;mq;mq;100400;mq;mq;120;mq;mq;mq;mq;277.850000;mq;mq;8.100000;8.600000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;mq;540;5;mq;1290;8;mq;1470;mq;mq;mq;
07643;20151021150000;101630;-60;5;30;4.200000;291.550000;278.050000;41;60000;0;0;0;mq;0;mq;mq;mq;mq;101540;mq;mq;20;mq;mq;mq;mq;278.950000;mq;mq;6.100000;6.200000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07650;20151021150000;101480;-70;5;310;6.400000;289.550000;278.550000;48;30000;1;0;0;25;0;6800;30;20;12;101100;mq;mq;0;mq;mq;mq;mq;281.850000;mq;mq;8.700000;9.100000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;2;0;6800;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07661;20151021150000;101360;-80;6;250;5.100000;290.750000;281.050000;53;20000;2;1;1;90;7;1250;35;61;60;99790;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;8.700000;-10;mq;mq;mq;mq;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;7;6;990;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07690;20151021150000;101290;-100;6;220;5.500000;292.150000;283.150000;56;30000;3;0;0;50;2;1250;31;20;12;100980;mq;mq;-90;mq;mq;mq;mq;285.050000;mq;mq;7.500000;8.300000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;2;8;1200;2;0;7000;mq;mq;mq;mq;mq;mq;
07747;20151021150000;101830;-60;5;310;9.700000;289.550000;277.250000;44;24140;0;mq;mq;mq;2;1750;mq;mq;mq;101300;mq;mq;240;mq;mq;mq;mq;282.750000;mq;mq;15.300000;16.200000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;2;mq;1560;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07761;20151021150000;101000;-10;5;220;3.500000;292.450000;287.950000;75;30000;2;2;2;90;4;800;38;20;16;100890;mq;mq;-140;mq;mq;mq;mq;286.250000;mq;mq;4.500000;4.900000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;3;6;800;2;8;1100;5;2;6200;7;2;6500;
07790;20151021150000;101240;-40;6;10;1.800000;290.350000;280.950000;54;40000;2;2;2;90;2;1250;35;20;12;101100;mq;mq;-40;mq;mq;mq;mq;285.650000;mq;mq;6.700000;8.800000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;2;6;1200;7;0;6500;mq;mq;mq;mq;mq;mq;
61996;20151021150000;101780;30;3;320;8.700000;287.350000;285.750000;90;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101430;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;11.300000;-10;mq;mq;mq;mq;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
61997;20151021150000;99790;-120;8;310;9.300000;282.350000;280.150000;86;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;98050;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;17.000000;-10;mq;mq;mq;mq;0.400000;0.400000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
61998;20151021150000;99500;-310;8;350;5.100000;275.950000;273.050000;81;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;99130;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;13.400000;-10;mq;mq;mq;mq;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
71805;20151021150000;101720;100;3;280;12.300000;283.250000;274.850000;56;30000;1;8;6;50;4;1250;32;20;11;101630;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;19.500000;-10;mq;mq;mq;mq;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;4;8;990;mq;mq;mq;mq;mq;mq;mq;mq;mq;
78897;20151021150000;101500;30;0;110;5.700000;304.450000;296.850000;64;45000;0;mq;mq;75;mq;800;mq;mq;mq;mq;mq;mq;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
78925;20151021150000;101450;40;0;90;6.600000;305.450000;297.550000;63;60000;mq;mq;mq;mq;mq;mq;mq;mq;mq;101360;mq;mq;-50;mq;mq;mq;mq;mq;mq;mq;9.300000;9.800000;-10;mq;mq;mq;mq;-0.100000;0.200000;0.600000;0.600000;0.600000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
81401;20151021150000;101260;150;8;110;2.100000;307.550000;294.250000;46;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101200;mq;mq;-90;mq;mq;mq;mq;mq;mq;mq;4.600000;6.200000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
81405;20151021150000;101330;-100;8;50;4.600000;305.450000;295.250000;55;60000;0;mq;mq;mq;5;1250;mq;mq;mq;101240;mq;mq;-50;mq;mq;mq;mq;294.750000;mq;mq;7.500000;7.500000;-10;mq;mq;mq;mq;0.000000;0.000000;0.200000;0.200000;0.200000;mq;mq;mq;mq;5;mq;1200;mq;mq;mq;mq;mq;mq;mq;mq;mq;
81415;20151021150000;101300;160;8;100;2.400000;306.450000;294.650000;50;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;100120;mq;mq;-70;mq;mq;mq;mq;mq;mq;mq;4.800000;4.800000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
89642;20151021150000;99030;-30;5;110;5.100000;260.350000;250.650000;40;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;98470;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
